Timestamp                       Thread     Type        Activity             PID    TTL  
2026-09-18 04:09:43.983492+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEXTEndpoint12:0x100000618): Create AFKMailboxEndpointInterface (id:1)
2026-09-18 04:09:43.984405+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint12:0x100000682): Create AFKMailboxEndpointInterface (id:1)
2026-09-18 04:09:43.985385+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEXTEndpoint12:0x100000618): Create AFKMailboxEndpointInterface (id:3)
2026-09-18 04:09:43.986936+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint13:0x100000683): Create AFKMailboxEndpointInterface (id:1)
2026-09-18 04:09:43.986956+0300 0x790      Default     0x0                  0      0    kernel: (IOThunderboltFamily) IOThunderboltSwitch(0@0)::setupTRMPolicyForPort - trm_policy = <private>
2026-09-18 04:09:43.986993+0300 0x790      Default     0x0                  0      0    kernel: (IODisplayPortFamily) IOAV[176] AppleDCPDPTXRemotePortUFP(iop-dcpext-nub)<0x100000735>::start: _dpSwitch=0x10000031b _role=3 _address.domain=0 _address.endpoint=0 _address.port=1
2026-09-18 04:09:43.988043+0300 0x790      Default     0x0                  0      0    kernel: (AppleDCPDPTXProxy) IOAV[179] AppleDCPDPTXRemotePortProxy<0x1000006fb>::powerChangeDone_block_invoke: powerstate 0 -> 0
2026-09-18 04:09:43.988051+0300 0x790      Default     0x0                  0      0    kernel: (AppleDCPDPTXProxy) IOAV[182] AppleDCPDPTXRemotePortProxy<0x1000006fb>::powerChangeDone_block_invoke: powerstate 0 -> 0
2026-09-18 04:09:43.990247+0300 0x790      Default     0x0                  0      0    kernel: (IODisplayPortFamily) IOAV[188] AppleDCPDPTXRemotePortUFP(iop-dcpext-nub)<0x100000758>::getAddressPropertyWithProvider: dp-switch-ufp-domain: not specified; defaulting to 0.
2026-09-18 04:09:43.990281+0300 0x790      Default     0x0                  0      0    kernel: (AppleDCPDPTXProxy) IOAV[191] AppleDCPDPTXRemotePortUFP(iop-dcpext-nub)<0x100000758>::handleStart: _socVmaxIndex = 1, socVmaxIndexCount = 2, port = 0
2026-09-18 04:09:44.000881+0300 0x790      Default     0x0                  0      0    kernel: (IODisplayPortFamily) IOAV[203] AppleATCDPINAdapterPort(atc0-dpin0)<0x10000031e>::start: _dpSwitch=0x10000031b _role=1 _address.domain=0 _address.endpoint=0 _address.port=1
2026-09-18 04:09:44.000899+0300 0x790      Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[212] AppleATCDPINAdapterPort(atc0-dpin0)<0x10000031e>::start: ok=yes
2026-09-18 04:09:44.000945+0300 0x790      Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[218] AppleATCDPINAdapterPort(atc0-dpin0)<0x10000031e>::handleTunnelStateChange: allocated=NO activated=NO interruptsEnabled=NO _dpTunnelActive=NO _dpinAdapterPortActive=NO _hpdAsserted=NO
2026-09-18 04:09:44.000954+0300 0x790      Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[221] AppleATCDPINAdapterPort(atc0-dpin0)<0x10000031e>::handleTunnelStateChange: ignoring redundant tunnel state change notification, _tunnelActive=NO
2026-09-18 04:09:44.001100+0300 0x790      Default     0x0                  0      0    kernel: (IODisplayPortFamily) IOAV[236] AppleDCPDPTXRemotePortUFP(iop-dcpext-nub)<0x100000758>::start: _dpSwitch=0x10000031b _role=3 _address.domain=0 _address.endpoint=0 _address.port=0
2026-09-18 04:09:44.001272+0300 0x790      Default     0x0                  0      0    kernel: (IODisplayPortFamily) IOAV[249] AppleATCDPINAdapterPort(atc0-dpin1)<0x10000031f>::start: _dpSwitch=0x10000031b _role=1 _address.domain=0 _address.endpoint=0 _address.port=2
2026-09-18 04:09:44.001288+0300 0x790      Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[255] AppleATCDPINAdapterPort(atc0-dpin1)<0x10000031f>::start: ok=yes
2026-09-18 04:09:44.001306+0300 0x790      Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[258] AppleATCDPINAdapterPort(atc0-dpin1)<0x10000031f>::handleTunnelStateChange: allocated=NO activated=NO interruptsEnabled=NO _dpTunnelActive=NO _dpinAdapterPortActive=NO _hpdAsserted=NO
2026-09-18 04:09:44.001314+0300 0x790      Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[261] AppleATCDPINAdapterPort(atc0-dpin1)<0x10000031f>::handleTunnelStateChange: ignoring redundant tunnel state change notification, _tunnelActive=NO
2026-09-18 04:09:44.001590+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:PPipeDCP_H13P.cpp:12527] set_run_mode_safe: deferring: 2 -> 4
